国/粤语歌曲,#genre#
阿细-细界,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000ck02v0rc77u87sj16lcg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
林奕匡-高山低谷,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000caksdh3c77ucoejh8l6g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
周柏豪-我的宣言,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c7sm6u3c77uace3houd0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
周柏豪-够钟,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cmbebvbc77u6p4blmqtg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
周柏豪-传闻,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c9d38o3c77u1jf2r3r6g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
CAllStar-天梯,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cisenvvog65r87k65dr0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
黄凯芹-雨中的恋人们,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cjli7rfog65o4vh2p4ug&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
谢霆锋-活着viva,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000ccdmdsbc77u0hvhjiuc0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
潘玮柏/弦子-不得不爱,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ckj6vr3c77uc094ge76g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
葛东琪-悬溺,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cjnkud3c77u8alq7192g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
陈奕迅-落花流水,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cngumojc77ubsn73764g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
周杰伦-七里香,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c586a8bc77u8ukr6db70&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
光良-童话,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cmhcjp3c77u6lekc7am0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
江语晨-最后一页,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cn5q3rbc77ubqm4m4jsg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
江语晨-浪漫爱,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fd80000bqt2lkroe0ndof6sf6d0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
陶喆-就是爱你,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c2j1oprc77u04674qfu0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
林俊杰-当你,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cm6f933c77u0inl4a58g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
关淑怡-难得有情人,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cockvfrc77uecmqmqq40&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
刘小慧-初恋情人,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cc9cli3c77u4vdavpd70&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
李克勤-红日,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000co87rbjc77ueeb2bpbbg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
李克勤-护花使者,'https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cit40pbc77uae67r96cg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
徐小凤-风的季节,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200f3b0000c1nfsqej8902v720umvg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
罗文-几许风雨,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000co6fijvog65rloj3i5n0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
周慧敏-最爱,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cihdb9rc77uaaibdjvl0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
陈百强-偏偏喜欢你,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c4sd0hjc77uadn62vdpg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname
陈百强-一生何求,
陈慧娴-千千阙歌,
陈慧娴-夜半小夜曲,
陈慧娴-人生何处不相逢,
陈慧娴-情意结,
林忆莲-假如让你吻下去
张国荣-沉默是金,
钟镇涛-让一切随风,
刘德华-暗里着迷,
刘德华-一起走过的日子,
谭咏麟-讲不出再见,
谭咏麟-一生中最爱,
王杰-谁明浪子心,
王杰-不浪漫罪名
吕方-你的浅笑,
张学友-饿狼传说,
张学友-只想一生跟你走,
邓丽君-漫步人生路,
邓丽欣-电灯胆
Beyond-光辉岁月,
Beyond-真的爱你,
Beyond-大地,
Beyond-冷雨夜,
Beyond-海阔天空,
Beyond-岁月无声,
叶蒨文-情人知己,
叶蒨文-祝福,
叶丽仪-上海滩,
甄妮-友谊太阳,
王菲-容易受伤的女人,
郑中基-无赖,
孙耀威-爱的故上集,
林子祥-男儿当自强,
梁咏琪-灰姑娘,
容祖儿-心淡,
容祖儿-习惯失恋,
容祖儿-续集,
容祖儿-怯,
容祖儿-16号爱人,
陈奕迅-富士山下,
陈奕迅-明年今日,
陈奕迅-单车,
杨千嬅-少年的祈祷,
杨千嬅-处处吻,
杨千嬅-野孩子,
杨千嬅-可惜我是水瓶座,
Twins-下一站天后,
Twins-恋爱大过天,
Twins-死性不改,
Twins-风筝与风,
Twins-朋友仔,
侧田-命硬,
钟嘉欣-大爱,
陈柏宇-你瞒我瞒,
吴雨霏-吴哥窿,
吴雨霏-明知做戏,
梁汉文-缠绵游戏,
泳儿/林峯-爱在记忆中找你,
古巨基-必杀技,
古巨基-爱与诚,
黎瑞恩-一人有一个的梦想,
陈文缓-时光中飞舞,
忘川-陈僖仪,
for ya-蒋小呢,
夏天-李玖哲,

易发天下,#genre#
CCTV1,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV1HD,http://125126.xyz:9080/hls/CCTV1.m3u8
CCTV1HD,http://18161816.xyz:9080/hls/CCTV1.m3u8
CCTV1HD,http://jchl.x3322.net:9080/hls/CCTV1.m3u8
CCTV2HD,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV13,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv13_2/index.m3u8
CCTV4k,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV4k,http://159.75.85.63:5679/cctv4k.php
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
CCTV13HD,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV16HD,https://node1.olelive.com:6443/live/CCTV16HD/hls.m3u8
CCTV1HD,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV2HD,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV5HD,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5PHD,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV6HD,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
CCTV8HD,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV9HD,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
湖南卫视,https://node1.olelive.com:6443/live/HUNANHD/hls.m3u8
辽宁卫视,https://node1.olelive.com:6443/live/LIAONINGHD/hls.m3u8
nbaTV2,http://170.yfvodcdn.com:8080/live/nbaTV2/hls.m3u8
nbaTV3,http://170.yfvodcdn.com:8080/live/nbaTV3/hls.m3u8
凤凰中文,http://170.yfvodcdn.com:8080/live/xsjgat2/hls.m3u8

临时频道,#genre#
重温经典,http://mtw.so/5NPX0U
TVB Plus,http://mtw.so/5Vma8v
無綫新聞台,http://live.cooltv.top/tv/tvb.php?id=2
AMC电影,http://mtw.so/5VmkBn
NOW体育,http://mtw.so/62SxG4
东森超视,http://mtw.so/69INir
东森亚洲卫视,http://mtw.so/6oLaAp
天映频道2,http://mtw.so/6whnF6
香港C+,http://mtw.so/5GjUs9
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8

港澳台频道,#genre#
(3线)NOW体育,http://60.30.198.43:5080/HK/nowty/hls.m3u8
(3线)NOW体育2,http://60.30.198.43:5080/HK/nowty2/hls.m3u8
(3线)NOW新闻,http://60.30.198.43:5080/HK/nowxw/hls.m3u8
(3线)NOW星影,http://60.30.198.43:5080/HK/xy/hls.m3u8
(3线)NOW爆谷,http://60.30.198.43:5080/HK/bg/hls.m3u8
(3线)广电翡翠1,http://60.30.198.43:5080/HK/gdfc1/hls.m3u8
(3线)广电翡翠2,http://60.30.198.43:5080/HK/gdfc/hls.m3u8
(3线)TVB翡翠,http://60.30.198.43:5080/HK/tvb/hls.m3u8
(3线)TVBJ1,http://mtw.so/5NmqrU

(1线)HOY77,http://122.112.192.218:80/HK/hoy77/hls.m3u8
(1线)HOY78,http://122.112.192.218:80/HK/hoy78/hls.m3u8

(大街)中视,rtmp://220.130.201.73/sat/tv091
(大街)华视,rtmp://220.130.201.73/sat/tv111
(大街)台视,rtmp://220.130.201.73/sat/tv071
(大街)民视,rtmp://220.130.201.73/sat/tv051
(大街)纬来体育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
(大街)纬来体育,rtmp://220.130.201.73/sat/tv721
(大街)纬来育乐,rtmp://220.130.201.73/sat/tv701
(大街)纬来日本,rtmp://220.130.201.73/sat/tv771
(大街)东森超视,rtmp://220.130.201.73/sat/tv331
(大街)凤凰中文,http://mtw.so/6wk5PS
(大街)凤凰资讯,http://mtw.so/5NXoZ0
(大街)凤凰香港,http://mtw.so/6hhFIg
(大街)星河,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
(大街)功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
(大街)娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
(大街)八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
(大街)三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
(大街)中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
(大街)AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
(大街)凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
(大街)纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
(大街)49号,http://61.221.215.25:8800/hls/49/index.m3u8
(大街)探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
(大街)八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
(大街)动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
(大街)八大综合,http://61.221.215.25:8800/hls/56/index.m3u8

湾湾新闻,#genre#
中視新聞,http://ytb.csscc.cc:2086/live.m3u8?c=2
三立新聞,http://ytb.csscc.cc:2086/live.m3u8?c=3
寰宇新聞,http://ytb.csscc.cc:2086/live.m3u8?c=4
大愛一臺,http://ytb.csscc.cc:2086/live.m3u8?c=5
東森新聞,http://ytb.csscc.cc:2086/live.m3u8?c=6
中天新聞,http://ytb.csscc.cc:2086/live.m3u8?c=7
中天新聞2,http://ytb.csscc.cc:2086/live.m3u8?c=10
民視新聞,http://ytb.csscc.cc:2086/live.m3u8?c=8
大愛二臺,http://ytb.csscc.cc:2086/live.m3u8?c=9
TVBS新聞,http://ytb.csscc.cc:2086/live.m3u8?c=11
ABC新闻,http://ytb.csscc.cc:2086/live.m3u8?c=12
公視新聞,http://ytb.csscc.cc:2086/live.m3u8?c=13
民視戲劇,http://ytb.csscc.cc:2086/live.m3u8?c=14
國會頻道１,http://ytb.csscc.cc:2086/live.m3u8?c=15
國會頻道２,http://ytb.csscc.cc:2086/live.m3u8?c=16

HK DTMB,#genre#
(2线)明珠台,http://113.83.152.28:1935/bysid/2
(2线)TVB Plus,http://113.83.152.28:1935/bysid/82
(2线)無綫新聞台,http://113.83.152.28:1935/bysid/83
(2线)鳳凰衛視香港台,http://113.83.152.28:1935/bysid/85
(2线)翡翠台,http://113.83.152.28:1936/bysid/1
(2线)ViuTVsix,http://113.83.152.28:1936/bysid/96
(2线)ViuTV,http://113.83.152.28:1936/bysid/99

(1线)翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1
(1线)ViuTVsix,http://grandprix2023.asuscomm.com:8889/bysid/96
(1线)ViuTV,http://grandprix2023.asuscomm.com:8889/bysid/99
(1线)明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2
(1线)TVB Plus,http://grandprix2023.asuscomm.com:8892/bysid/82
(1线)無綫新聞台,http://grandprix2023.asuscomm.com:8892/bysid/83
(1线)凤凰香港,http://grandprix2023.asuscomm.com:8892/bysid/85

(3线)翡翠台,http://nz189l149.bb27109.ctm.net:8889/bysid/1
(3线)ViuTVsix,http://nz189l149.bb27109.ctm.net:8889/bysid/96
(3线)ViuTV,http://nz189l149.bb27109.ctm.net:8889/bysid/99
(3线)澳视澳门,http://nz189l149.bb27109.ctm.net:8891/bysid/91
(3线)澳视葡语,http://nz189l149.bb27109.ctm.net:8891/bysid/92
(3线)澳门资讯,http://nz189l149.bb27109.ctm.net:8891/bysid/94
(3线)澳门macau,http://nz189l149.bb27109.ctm.net:8891/bysid/96
(3线)明珠台,http://nz189l149.bb27109.ctm.net:8892/bysid/2
(3线)TVB Plus,http://nz189l149.bb27109.ctm.net:8892/bysid/82
(3线)無綫新聞台,http://nz189l149.bb27109.ctm.net:8892/bysid/83
(3线)鳳凰衛視香港台,http://nz189l149.bb27109.ctm.net:8892/bysid/85

(4线)港台電視 31,http://mtw.so/6oR1FR
(4线)港台電視 32,http://ha.hahomes.net:9982/stream/channel/f6ba9b6fadce2697156c46ed5bb8410d?profile=pass
(4线)HOY 76,http://ha.hahomes.net:9982/stream/channel/f19bf5db0b1e05b024674e61d64fb834?profile=pass
(4线)HOY 77,http://ha.hahomes.net:9982/stream/channel/c792028ab392cc0f8643a5b9af6e9c82?profile=pass
(4线)HOY 78,http://ha.hahomes.net:9982/stream/channel/b59abe2e5aa04f95a83923f05132c183?profile=pass
(4线)翡翠台,http://ha.hahomes.net:9982/stream/channel/5954ad9fd4240f4a1c1b64ca44963160?profile=pass
(4线)TVB+,http://ha.hahomes.net:9982/stream/channel/c371e27ca75a04beddc661e77a5bdb71?profile=pass
(4线)無綫新聞,http://ha.hahomes.net:9982/stream/channel/93c5ee89394c8a3e0c0a6d9ee2afcecf?profile=pass
(4线)明珠台,http://ha.hahomes.net:9982/stream/channel/c7ee5e92cd50ed745ccc7ea108035400?profile=pass
(4线)凤凰香港,http://ha.hahomes.net:9982/stream/channel/43b92c96a2f7853f35d59e55dcc251c1?profile=pass
(4线)ViuTVsix,http://ha.hahomes.net:9982/stream/channel/a0644e0e693f7c08b60efd87bf3e1b31?profile=pass
(4线)ViuTV,http://ha.hahomes.net:9982/stream/channel/e118bf44425cedbb0fd442f2fcb07721?profile=pass

广东本地,#genre#
广州塔,http://gctxyc.liveplay.myqcloud.com/gc/ztb_1_md.m3u8
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广州综合,http://r.jdshipin.com/iR6Gq
广州南国都市,http://r.jdshipin.com/nWaZO
广州影视,http://r.jdshipin.com/TcKr2
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
云浮综合,https://livestream.oeeee.com/slive/17806.m3u8
云浮文旅,https://livestream.oeeee.com/slive/17807.m3u8
阳江1,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/playlist.m3u8
阳江2,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/playlist.m3u8
广东卫视,http://php.jdshipin.com:8880/chudian.php?id=gdws
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=gdzj
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东新闻,http://php.jdshipin.com:8880/chudian.php?id=gdxw
广东经济科教,http://php.jdshipin.com:8880/chudian.php?id=gdjjkj
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东少儿,http://php.jdshipin.com:8880/chudian.php?id=gdse
广东影视,http://php.jdshipin.com:8880/chudian.php?id=gdys
嘉佳卡通,http://php.jdshipin.com:8880/chudian.php?id=jjkt
广东国际,http://php.jdshipin.com:8880/chudian.php?id=gdgj
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
广东综艺4K,http://php.jdshipin.com:8880/chudian.php?id=gdzy
GRTN文化频道,https://glive.grtn.cn/live/wenhua_test0203.m3u8
肇庆综合,http://php.jdshipin.com:8880/chudian.php?id=zqzh
肇庆公共,http://php.jdshipin.com:8880/chudian.php?id=zqgg
惠州新闻综合,http://php.jdshipin.com:8880/chudian.php?id=hzxw
清远综合,http://php.jdshipin.com:8880/chudian.php?id=qyzh
梅州综合,http://php.jdshipin.com:8880/chudian.php?id=mzzh
河源综合,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg
连平台,http://php.jdshipin.com:8880/chudian.php?id=lpzh
阳江-1,http://php.jdshipin.com:8880/chudian.php?id=yjtv1
阳江-2,http://php.jdshipin.com:8880/chudian.php?id=yjtv2
惠东综合,http://php.jdshipin.com:8880/chudian.php?id=hdzh
开平综合,http://php.jdshipin.com:8880/chudian.php?id=kpzh
开平生活,http://php.jdshipin.com:8880/chudian.php?id=kpsh
四会新闻综合,http://php.jdshipin.com:8880/chudian.php?id=shzh
广宁综合,http://php.jdshipin.com:8880/chudian.php?id=gnzh
工布江达县广播电视台,http://php.jdshipin.com:8880/chudian.php?id=gbjd
化州综合,http://php.jdshipin.com:8880/chudian.php?id=hzzh
鹤山综合,http://php.jdshipin.com:8880/chudian.php?id=hszh
廉江综合,http://php.jdshipin.com:8880/chudian.php?id=ljzh
英德新闻综合,http://php.jdshipin.com:8880/chudian.php?id=ydxw
清新综合,http://php.jdshipin.com:8880/chudian.php?id=qxzh
普宁综合,http://php.jdshipin.com:8880/chudian.php?id=pnzh
紫金综合,http://php.jdshipin.com:8880/chudian.php?id=zjzh
连州综合,http://php.jdshipin.com:8880/chudian.php?id=lzzh
阳春综合,http://php.jdshipin.com:8880/chudian.php?id=yczh
佛冈综合,http://php.jdshipin.com:8880/chudian.php?id=fgzh
怀集综合,http://php.jdshipin.com:8880/chudian.php?id=hjzh
惠阳电视台,http://php.jdshipin.com:8880/chudian.php?id=hytv
信宜综合,http://php.jdshipin.com:8880/chudian.php?id=xyzh
徐闻综合,http://php.jdshipin.com:8880/chudian.php?id=xwzh
阳西综合,http://php.jdshipin.com:8880/chudian.php?id=yxzh
台山台,http://php.jdshipin.com:8880/chudian.php?id=tstv
遂溪台,http://php.jdshipin.com:8880/chudian.php?id=sxtv
新会综合,http://php.jdshipin.com:8880/chudian.php?id=xhzh
罗定综合,http://php.jdshipin.com:8880/chudian.php?id=ldzh
和平综合,http://php.jdshipin.com:8880/chudian.php?id=hpzh
东源台,http://php.jdshipin.com:8880/chudian.php?id=dytv
吴川综合,http://php.jdshipin.com:8880/chudian.php?id=wczh
乐昌电视台,http://php.jdshipin.com:8880/chudian.php?id=lctv
潮安综合,http://php.jdshipin.com:8880/chudian.php?id=cazh
恩平综合,http://php.jdshipin.com:8880/chudian.php?id=epzh

揭阳酒店,#genre#
CCTV风云剧场,http://jxtv2.gdsz.eu.org:8081/hls/18/index.m3u8
CCTV央视文化精品,http://jxtv2.gdsz.eu.org:8081/hls/33/index.m3u8
CCTV风云音乐,http://jxtv2.gdsz.eu.org:8081/hls/88/index.m3u8
CCTV风云音乐,http://jxtv2.gdsz.eu.org:8081/hls/117/index.m3u8
综合频道,http://jxtv2.gdsz.eu.org:8081/hls/19/index.m3u8
综合频道2,http://jxtv2.gdsz.eu.org:8081/hls/39/index.m3u8
凤凰资讯,http://jxtv2.gdsz.eu.org:8081/hls/36/index.m3u8
凤凰中文,http://jxtv2.gdsz.eu.org:8081/hls/37/index.m3u8
凤凰香港,http://jxtv2.gdsz.eu.org:8081/hls/38/index.m3u8
宁夏卫视,http://jxtv2.gdsz.eu.org:8081/hls/73/index.m3u8
宁夏卫视,http://jxtv2.gdsz.eu.org:8081/hls/71/index.m3u8
山东卫视,http://jxtv2.gdsz.eu.org:8081/hls/75/index.m3u8
重庆卫视,http://jxtv2.gdsz.eu.org:8081/hls/76/index.m3u8
新疆卫视,http://jxtv2.gdsz.eu.org:8081/hls/82/index.m3u8
河南卫视,http://jxtv2.gdsz.eu.org:8081/hls/96/index.m3u8
新疆卫视,http://jxtv2.gdsz.eu.org:8081/hls/104/index.m3u8
北京卫视,http://jxtv2.gdsz.eu.org:8081/hls/45/index.m3u8
天津卫视,http://jxtv2.gdsz.eu.org:8081/hls/48/index.m3u8
黑龙江卫视,http://jxtv2.gdsz.eu.org:8081/hls/50/index.m3u8
广西卫视,http://jxtv2.gdsz.eu.org:8081/hls/60/index.m3u8
广东卫视,http://jxtv2.gdsz.eu.org:8081/hls/140/index.m3u8
华数,http://jxtv2.gdsz.eu.org:8081/hls/61/index.m3u8
华数2,http://jxtv2.gdsz.eu.org:8081/hls/63/index.m3u8
华数3,http://jxtv2.gdsz.eu.org:8081/hls/154/index.m3u8
CHC动作电影,http://jxtv2.gdsz.eu.org:8081/hls/62/index.m3u8
乐游,http://jxtv2.gdsz.eu.org:8081/hls/66/index.m3u8
都市频道,http://jxtv2.gdsz.eu.org:8081/hls/68/index.m3u8
电视剧频道,http://jxtv2.gdsz.eu.org:8081/hls/141/index.m3u8
电视剧频道,http://jxtv2.gdsz.eu.org:8081/hls/69/index.m3u8
体育健康,http://jxtv2.gdsz.eu.org:8081/hls/142/index.m3u8
体育健康,http://jxtv2.gdsz.eu.org:8081/hls/70/index.m3u8
山东文化,http://jxtv2.gdsz.eu.org:8081/hls/72/index.m3u8
现代教育,http://jxtv2.gdsz.eu.org:8081/hls/109/index.m3u8
优漫卡通,http://jxtv2.gdsz.eu.org:8081/hls/128/index.m3u8
TVB星河,http://jxtv2.gdsz.eu.org:8081/hls/135/index.m3u8
TVB星河,http://jxtv2.gdsz.eu.org:8081/hls/136/index.m3u8
CCTV1,http://jxtv2.gdsz.eu.org:8081/hls/137/index.m3u8
CCTV4K,http://jxtv2.gdsz.eu.org:8081/hls/144/index.m3u8
CCTV4K,http://jxtv2.gdsz.eu.org:8081/hls/145/index.m3u8

广州酒店,#genre#
CCTV-1综合,http://183.236.32.24:9901/hls/1001/index.m3u8
CCTV-2财经,http://183.236.32.24:9901/hls/1002/index.m3u8
CCTV-3综艺,http://183.236.32.24:9901/hls/1003/index.m3u8
CCTV-4中文国际,http://183.236.32.24:9901/hls/1004/index.m3u8
CCTV-5体育,http://183.236.32.24:9901/hls/1005/index.m3u8
CCTV-6电影,http://183.236.32.24:9901/hls/1006/index.m3u8
CCTV-7国防军事,http://183.236.32.24:9901/hls/1007/index.m3u8
CCTV-8电视剧,http://183.236.32.24:9901/hls/1008/index.m3u8
CCTV-9记录,http://183.236.32.24:9901/hls/1009/index.m3u8
CCTV-10科教,http://183.236.32.24:9901/hls/1010/index.m3u8
CCTV-11戏曲,http://183.236.32.24:9901/hls/1011/index.m3u8
CCTV-12社会与法,http://183.236.32.24:9901/hls/1012/index.m3u8
CCTV-13新闻,http://183.236.32.24:9901/hls/1013/index.m3u8
CCTV-14少儿,http://183.236.32.24:9901/hls/1014/index.m3u8
CCTV-15音乐,http://183.236.32.24:9901/hls/1015/index.m3u8
CCTV-16奥利匹克,http://183.236.32.24:9901/hls/1016/index.m3u8
CCTV-17农业农村,http://183.236.32.24:9901/hls/1017/index.m3u8
